Model,Gamma,Lamb,s0h,H,M,k,Sb,Added,CV2D,Strain
Comm,0,1,1.5,0.9,44,62.7969284058,0.7285714286,1.0652054923,0.0157992884,Str5
Comm,0,1,1.5,0.9,44,62.7969284058,0.8357142857,1.0285062876,0.0163912853,Str5
Comm,0,1,1.5,0.9,44,62.7969284058,0.9428571429,0.9959180353,0.0169075217,Str5
Comm,0,1,1.5,0.9,44,62.7969284058,1.05,0.9668338621,0.0173566106,Str5
Comm,0,1,1.5,0.9,44,62.7969284058,1.1571428571,0.9407523559,0.0177466062,Str5
Comm,0,1,1.5,0.9,44,62.7969284058,1.2642857143,0.9172572185,0.0180848273,Str5
Comm,0,1,1.5,0.9,44,62.7969284058,1.3714285714,0.8960011387,0.0183777978,Str5
Comm,0,1,1.5,0.9,44,62.7969284058,1.4785714286,0.8766929492,0.0186312596,Str5
Comm,0,1,1.5,0.9,44,62.7969284058,1.5857142857,0.859087365,0.0188502234,Str5
Comm,0,1,1.5,0.9,44,62.7969284058,1.6928571429,0.8429767572,0.0190390385,Str5
Comm,0,1,1.5,0.9,44,62.7969284058,1.8,0.8281845375,0.0192014672,Str5
Pow,0,1.43,0,0,44,26.1040115356,0.3,1.234034943,0.0138234483,Str5
Pow,0,1.43,0,0,44,26.1040115356,0.4071428571,1.1835199664,0.014548346,Str5
Pow,0,1.43,0,0,44,26.1040115356,0.5142857143,1.138826227,0.0151790695,Str5
Pow,0,1.43,0,0,44,26.1040115356,0.6214285714,1.0988613456,0.015729978,Str5
Pow,0,1.43,0,0,44,26.1040115356,0.7285714286,1.0628310445,0.0162123293,Str5
Pow,0,1.43,0,0,44,26.1040115356,0.8357142857,1.0301290446,0.0166353659,Str5
Pow,0,1.43,0,0,44,26.1040115356,0.9428571429,1.0002777311,0.0170068395,Str5
Pow,0,1.43,0,0,44,26.1040115356,1.05,0.9728923971,0.0173333196,Str5
Pow,0,1.43,0,0,44,26.1040115356,1.1571428571,0.9476579686,0.0176204058,Str5
Pow,0,1.43,0,0,44,26.1040115356,1.2642857143,0.924312995,0.0178728877,Str5
Pow,0,1.43,0,0,44,26.1040115356,1.3714285714,0.9026381796,0.0180948739,Str5
Pow,0,1.43,0,0,44,26.1040115356,1.4785714286,0.8824479052,0.0182898972,Str5
Pow,0,1.43,0,0,44,26.1040115356,1.5857142857,0.8635838212,0.0184610031,Str5
Pow,0,1.43,0,0,44,26.1040115356,1.6928571429,0.8459098971,0.0186108229,Str5
Pow,0,1.43,0,0,44,26.1040115356,1.8,0.8293085476,0.0187416368,Str5
